SensoDuino log file created:
DATE: 2014/9/28
TIME:  0:13:39
----------------------------
Pres, 195, 1012.48,,,3
Gyro, 196, -0.009593239, -0.06395155,-0.073543996, 3
Accelerometer, 197, -0.27662477,7.1244345,6.853947, 3
Magnetometer, 198, -1.8999939,-17.600006,-41.699997, 0
Orient, 199, 11.185588,-45.80561,-2.8270292, 0
RotVec, 200, 0.3891408,-0.021720827,-0.09661129, 3
AccLin, 201, 0.07080276,0.09101074,0.024399262, 3
Gravity, 202, -0.34742752,7.033424,6.829548, 3
Time, 203, 0,13,45, 3
Audio, 204, 228,,,99
GPS1, 205, 40.73982663452625, -73.55704578571022, 4.5, 15.0
GPS2, 205, 261.0, 0.0, 1414469625000, 15.0
Pres, 206, 1012.39996,,,3
Gyro, 207, 0.1502843, 0.08633356,-0.13856082, 3
Accelerometer, 208, -0.031284943,6.8259554,7.018904, 3
Magnetometer, 209, -2.0,-18.0,-41.300003, 0
Orient, 210, 12.348178,-46.331875,-2.8903735, 0
RotVec, 211, 0.39317364,-0.025645792,-0.105995715, 3
AccLin, 212, 0.32706985,-0.27003846,0.2549199, 3
Gravity, 213, -0.3583548,7.095994,6.763984, 3
Audio, 214, 628,,,99
Pres, 215, 1012.43,,,3
Gyro, 216, 0.14921851, -0.26433098,0.02131674, 3
Accelerometer, 217, -0.21420456,7.4245605,6.210735, 3
Magnetometer, 218, -1.800003,-19.800003,-40.800003, 0
Orient, 219, 12.295649,-48.82928,-3.63647, 0
RotVec, 220, 0.4137685,-0.022661597,-0.10730767, 3
AccLin, 221, 0.25521928,0.04011658,-0.23007156, 3
Gravity, 222, -0.46942383,7.3844438,6.4408064, 3
Audio, 223, 352,,,99
Gyro, 224, -0.062885754, -0.007461112,0.06714814, 3
Accelerometer, 225, 0.19264938,7.297924,6.907835, 3
Magnetometer, 226, -4.099991,-19.09999,-41.399994, 0
Orient, 227, 13.606648,-47.504772,-0.63123345, 0
RotVec, 228, 0.40040216,-0.044024512,-0.11005008, 3
AccLin, 229, 0.27243346,0.064815216,0.2814148, 3
Gravity, 230, -0.07978409,7.2331085,6.6264205, 3
Pres, 231, 1012.45996,,,3
Audio, 232, 312,,,99
Gyro, 233, -0.037305295, -0.05222672,0.008526376, 3
Accelerometer, 234, -0.19998413,7.2822065,6.6168404, 3
Magnetometer, 235, -4.599991,-19.09999,-41.300003, 0
Orient, 236, 14.251854,-47.672268,0.40468475, 0
RotVec, 237, 0.40070993,-0.05250203,-0.11242184, 3
AccLin, 238, -0.25117767,0.029638367,0.011376343, 3
Gravity, 239, 0.051193543,7.2525682,6.605464, 3
Time, 240, 0,13,46, 3
Audio, 241, 285,,,99
Pres, 242, 1012.39996,,,3
GPS1, 243, 40.73983392678201, -73.55703379958868, 4.5, 15.0
GPS2, 243, 306.0, 0.81315, 1414469626000, 15.0
Gyro, 244, 0.088465154, -0.058622036,0.022382537, 3
Accelerometer, 245, -0.006436615,7.6001453,7.0004926, 3
Magnetometer, 246, -5.0,-19.0,-40.899994, 0
Orient, 247, 14.790529,-47.57513,0.65241987, 0
RotVec, 248, 0.3995106,-0.05573187,-0.11609581, 3
AccLin, 249, -0.08876541,0.35880387,0.38305342, 3
Gravity, 250, 0.0823288,7.2413416,6.617439, 3
Audio, 251, 256,,,99
Pres, 252, 1012.47,,,3
Gyro, 253, 0.2494085, -0.034107372,-0.073543996, 3
Accelerometer, 254, -0.07319778,7.3295083,6.2965064, 3
Magnetometer, 255, -5.800003,-20.699997,-40.0, 0
Orient, 256, 15.595568,-49.98633,1.349212, 0
RotVec, 257, 0.4175641,-0.06543372,-0.11918515, 3
AccLin, 258, -0.25012985,-0.18381774,-0.008532257, 3
Gravity, 259, 0.17693207,7.513326,6.3050385, 3
Audio, 260, 475,,,99
Gyro, 261, 0.19505018, -0.10125605,-0.041568484, 3
Accelerometer, 262, 0.18741028,7.4802446,6.5584617, 3
Magnetometer, 263, -6.5,-21.0,-40.199997, 0
Orient, 264, 16.973677,-50.04008,1.7694079, 0
RotVec, 265, 0.41684145,-0.073046364,-0.12875873, 3
AccLin, 266, -0.044756927,-0.03891907,0.26240432, 3
Gravity, 267, 0.2321672,7.5191636,6.296057, 3
Pres, 268, 1012.44995,,,3
Audio, 269, 581,,,99
Gyro, 270, -0.10019025, 0.07460926,-0.05222672, 3
Accelerometer, 271, 0.6474037,7.525301,6.0692787, 3
Magnetometer, 272, -7.900009,-22.300003,-39.0, 0
Orient, 273, 18.285143,-51.805634,3.708797, 0
RotVec, 274, 0.4282501,-0.09212706,-0.13181669, 3
AccLin, 275, 0.14774276,-0.1844165,0.024099885, 3
Gravity, 276, 0.49966094,7.7097178,6.045179, 3
Time, 277, 0,13,47, 3
Pres, 278, 1012.55,,,3
Audio, 279, 585,,,99
Gyro, 280, -0.07993878, -0.039436888,0.060753096, 3
Accelerometer, 281, 0.33485368,7.7444453,6.027516, 3
Magnetometer, 282, -7.699997,-21.5,-39.399994, 0
Orient, 283, 18.088047,-50.68466,3.5633497, 0
RotVec, 284, 0.4197934,-0.08886348,-0.13177612, 3
AccLin, 285, -0.13771363,0.15477814,-0.16989669, 3
Gravity, 286, 0.4725673,7.5896673,6.1974125, 3
Audio, 287, 286,,,99
Pres, 288, 1012.45996,,,3
Gyro, 289, 0.04369928, 0.014921425,0.027712055, 3
Accelerometer, 290, 0.4300557,7.4923697,6.731352, 3
Magnetometer, 291, -7.5,-20.59999,-40.600006, 0
Orient, 292, 17.392801,-49.506817,3.5288265, 0
RotVec, 293, 0.41114575,-0.08442897,-0.12750602, 3
AccLin, 294, -0.029937744,0.032033388,0.37781432, 3
Gravity, 295, 0.45999345,7.460336,6.3535376, 3
Audio, 296, 421,,,99
Pres, 297, 1012.49,,,3
Gyro, 298, -0.006395315, 0.011724034,0.037304495, 3
Accelerometer, 299, 0.23695725,7.310797,6.777007, 3
Magnetometer, 300, -7.100006,-19.5,-41.199997, 0
Orient, 301, 16.427834,-48.108433,3.6496558, 0
RotVec, 302, 0.4007775,-0.07975635,-0.12079528, 3
AccLin, 303, -0.22872436,0.008232879,0.24324417, 3
Gravity, 304, 0.4656816,7.302564,6.533763, 3
Audio, 305, 439,,,99
Pres, 306, 1012.45996,,,3
Gyro, 307, 0.026645726, -0.046897735,-0.04263428, 3
Accelerometer, 308, 0.5198689,7.22757,6.406827, 3
Magnetometer, 309, -7.400009,-19.800003,-41.0, 0
Orient, 310, 16.691198,-48.231773,3.8468168, 0
RotVec, 311, 0.401445,-0.08202275,-0.122235954, 3
AccLin, 312, 0.02799179,-0.08906479,-0.10912308, 3
Gravity, 313, 0.49187714,7.316635,6.51595, 3
Time, 314, 0,13,48, 3
GPS1, 315, 40.73983820155263, -73.55702474713326, 4.600006103515625, 15.0
GPS2, 315, 282.0, 0.2502, 1414469628000, 15.0
Audio, 316, 291,,,99
Pres, 317, 1012.51996,,,3
Gyro, 318, 0.036238696, -0.008526909,-0.0031979238, 3
Accelerometer, 319, 0.43544447,7.4664736,6.5650477, 3
